SEND_SMS,READ_PHONE_STATE,NrServices,RECEIVE_BOOT_COMPLETED,RECEIVE_SMS,ACCESS_WIFI_STATE,NrIntReceiversActions,READ_SMS,SYSTEM_ALERT_WINDOW,GET_ACCOUNTS,WAKE_LOCK,GET_TASKS,fsync,WRITE_EXTERNAL_STORAGE,renameat,BIND_DEVICE_ADMIN,wait4,ACCESS_COARSE_LOCATION,flock,CHANGE_WIFI_STATE,ACCESS_FINE_LOCATION,CALL_PHONE,CHANGE_NETWORK_STATE,ACCESS_NETWORK_STATE,NrIntServicesActions,NrIntReceivers,NrIntServices,RESTART_PACKAGES,WRITE_SETTINGS,VIBRATE,KILL_BACKGROUND_PROCESSES,MOUNT_UNMOUNT_FILESYSTEMS,unlinkat,READ_LOGS,BROADCAST_SMS,PROCESS_OUTGOING_CALLS,READ_CONTACTS,epoll_create1,READ_CALL_LOG,DISABLE_KEYGUARD,READ_EXTERNAL_STORAGE,ftruncate64,RECEIVE_WAP_PUSH,CHANGE_CONFIGURATION,FOREGROUND_SERVICE,BIND_WALLPAPER,BROADCAST_WAP_PUSH,SEND_RESPOND_VIA_MESSAGE,pwrite64,sched_yield,DELETE_PACKAGES,connect,geteuid32,INSTALL_PACKAGES,recvfrom,WRITE_APN_SETTINGS,ACCESS_LOCATION_EXTRA_COMMANDS,CLEAR_APP_CACHE,getsockname,socket,getsockopt,_llseek,INTERNET,fchmodat,ugetrlimit,WRITE_CALL_LOG,fstatat64,getdents64,epoll_ctl,MODIFY_PHONE_STATE,GET_PACKAGE_SIZE,BIND_REMOTEVIEWS,sendto,mkdirat,BATTERY_STATS,sigaction,kill,UPDATE_DEVICE_STATS,RECEIVE_MMS,statfs64,WRITE_SECURE_SETTINGS,BIND_QUICK_SETTINGS_TILE,fstatfs64,sendmsg,readlinkat,dup,getpid,fcntl64,RECORD_AUDIO,EXPAND_STATUS_BAR,socketpair,getpriority,SET_WALLPAPER_HINTS,restart_syscall,PACKAGE_USAGE_STATS,timerfd_create,sysinfo,setrlimit,sigaltstack,timerfd_settime,WRITE_CONTACTS,writev,BLUETOOTH,USE_SIP,BIND_CHOOSER_TARGET_SERVICE,USE_FINGERPRINT,READ_SYNC_SETTINGS,rt_sigprocmask,vfork,USE_BIOMETRIC,NFC,REQUEST_INSTALL_PACKAGES,BIND_ACCESSIBILITY_SERVICE,CHANGE_COMPONENT_ENABLED_STATE,REORDER_TASKS,WRITE_SYNC_SETTINGS,ACCESS_NOTIFICATION_POLICY,MANAGE_DOCUMENTS,SET_TIME_ZONE,setpriority,DELETE_CACHE_FILES,lseek,msync,clock_gettime,mremap,setsockopt,READ_CALENDAR,mknodat,ACCESS_BACKGROUND_LOCATION,TRANSMIT_IR,BIND_NOTIFICATION_LISTENER_SERVICE,DIAGNOSTIC,BROADCAST_PACKAGE_REMOVED,MODIFY_AUDIO_SETTINGS,PERSISTENT_ACTIVITY,listen,munmap,BROADCAST_STICKY,REQUEST_DELETE_PACKAGES,MEDIA_CONTENT_CONTROL,CAMERA,CALL_PRIVILEGED,write,READ_SYNC_STATS,exit_group,shutdown,pread64,bind,BIND_INPUT_METHOD,WRITE_CALENDAR,BLUETOOTH_ADMIN,BODY_SENSORS,SET_WALLPAPER,ACCOUNT_MANAGER,set_thread_area,sched_get_priority_max,sched_get_priority_min,dup3,sched_setscheduler,ANSWER_PHONE_CALLS,MOUNT_FORMAT_FILESYSTEMS,faccessat,eventfd2,fchmod,getcwd,getegid32,BIND_TELECOM_CONNECTION_SERVICE,BIND_APPWIDGET,GLOBAL_SEARCH,read,MANAGE_OWN_CALLS,uname,ADD_VOICEMAIL,munlock,mlock,BIND_DREAM_SERVICE,FACTORY_TEST,BIND_VPN_SERVICE,mincore,NrIntActivities,NrIntActivitiesActions,epoll_pwait,rt_sigsuspend,DUMP,clock_getres,gettid,getgid32,mmap2,BIND_AUTOFILL_SERVICE,clone,mprotect,USE_FULL_SCREEN_INTENT,close,SIGNAL_PERSISTENT_PROCESSES,SET_DEBUG_APP,futex,ACCESS_MEDIA_LOCATION,madvise,UNINSTALL_SHORTCUT,GET_ACCOUNTS_PRIVILEGED,class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
